,Pin,Dispatch Center,Origin Center,Return Center,Facility City,Facility State,ODA
1731,614019,Thiruvarur_Mannargudi_D (Tamil Nadu),Thiruvarur_Mannargudi_D (Tamil Nadu),Thiruvarur_Mannargudi_D (Tamil Nadu),Thiruvarur,Tamil Nadu,TRUE
1732,534156,Tanuku_Venkatarayapuram_D (Andhra Pradesh),Tanuku_Venkatarayapuram_D (Andhra Pradesh),Tanuku_Venkatarayapuram_D (Andhra Pradesh),Tanuku,Andhra Pradesh,TRUE
1733,145026,Dinanagar_AryaNagar_D (Punjab),Dinanagar_AryaNagar_D (Punjab),Dinanagar_AryaNagar_D (Punjab),Dinanagar,Punjab,TRUE
1734,227202,Lucknow_Barabankimati_L (Uttar Pradesh),Lucknow_Barabankimati_L (Uttar Pradesh),Lucknow_Barabankimati_L (Uttar Pradesh),Lucknow,Uttar Pradesh,TRUE
1735,233224,Ghazipur_Arazidhawa_D (Uttar Pradesh),Ghazipur_Arazidhawa_D (Uttar Pradesh),Ghazipur_Arazidhawa_D (Uttar Pradesh),Ghazipur,Uttar Pradesh,TRUE
1736,518313,KosigiAP_RangappaGattu_D (Andhra Pradesh),KosigiAP_RangappaGattu_D (Andhra Pradesh),KosigiAP_RangappaGattu_D (Andhra Pradesh),KosigiAP,Andhra Pradesh,TRUE
1737,497101,Ambikapur_Bouripara_I (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),Ambikapur_Bouripara_I (Chhattisgarh),Ambikapur,Chhattisgarh,TRUE
1738,360002,Rajkot_Amargadh_H (Gujarat),Rajkot_Amargadh_H (Gujarat),Rajkot_Amargadh_H (Gujarat),Rajkot,Gujarat,FALSE
1739,515231,Gorantla_MarketYard_D (Andhra Pradesh),Gorantla_MarketYard_D (Andhra Pradesh),Gorantla_MarketYard_D (Andhra Pradesh),Gorantla,Andhra Pradesh,TRUE
1740,486003,Rewa_Godahar_D (Madhya Pradesh),Rewa_Godahar_D (Madhya Pradesh),Rewa_Godahar_D (Madhya Pradesh),Rewa,Madhya Pradesh,FALSE
1741,629155,Marthandam_Chiraynkuzhi_D (Tamil Nadu),Marthandam_Chiraynkuzhi_D (Tamil Nadu),Marthandam_Chiraynkuzhi_D (Tamil Nadu),Marthandam,Tamil Nadu,TRUE
1742,614809,Pushpavanam_Subrmnypurm_D (Tamil Nadu),Pushpavanam_Subrmnypurm_D (Tamil Nadu),Pushpavanam_Subrmnypurm_D (Tamil Nadu),Pushpavanam,Tamil Nadu,TRUE
1743,224232,Rajesultanpur_PadumprMkt_D (Uttar Pradesh),Rajesultanpur_PadumprMkt_D (Uttar Pradesh),Rajesultanpur_PadumprMkt_D (Uttar Pradesh),Rajesultanpur,Uttar Pradesh,TRUE
1744,480771,Katangi_Mattravihar_D (Madhya Pradesh),Katangi_Mattravihar_D (Madhya Pradesh),Katangi_Mattravihar_D (Madhya Pradesh),Katangi,Madhya Pradesh,FALSE
1745,796810,Sangau_Zionveng_D (Mizoram),Sangau_Zionveng_D (Mizoram),Sangau_Zionveng_D (Mizoram),Sangau,Mizoram,FALSE
1746,146105,Garhshankar_Ward10_D (Punjab),Garhshankar_Ward10_D (Punjab),Garhshankar_Ward10_D (Punjab),Garhshanker,Punjab,FALSE
1747,614623,Peravurani_Nattanikkottai_D (Tamil Nadu),Peravurani_Nattanikkottai_D (Tamil Nadu),Peravurani_Nattanikkottai_D (Tamil Nadu),Peravurani,Tamil Nadu,TRUE
1748,678688,Nenmara_Vadakkencherry_D (Kerala),Nenmara_Vadakkencherry_D (Kerala),Nenmara_Vadakkencherry_D (Kerala),Nenmara,Kerala,TRUE
1749,625108,Ponamarvathi_Singampunari_D (Tamil Nadu),Ponamarvathi_Singampunari_D (Tamil Nadu),Ponamarvathi_Singampunari_D (Tamil Nadu),Ponnamaravathi,Tamil Nadu,TRUE
1750,583204,Hospet_PrakashNagar_D (Karnataka),Hospet_PrakashNagar_D (Karnataka),Hospet_PrakashNagar_D (Karnataka),Hospet,Karnataka,FALSE
1751,585287,Shahapur_LxmiNgr_D (Karnataka),Shahapur_LxmiNgr_D (Karnataka),Shahapur_LxmiNgr_D (Karnataka),Shahapur,Karnataka,TRUE
1752,523108,Pamuru_ViruvoruRd_D (Andhra Pradesh),Pamuru_ViruvoruRd_D (Andhra Pradesh),Pamuru_ViruvoruRd_D (Andhra Pradesh),Pamuru,Andhra Pradesh,TRUE
1753,712702,Kolkata_Dankuni_GW (West Bengal),Kolkata_Dankuni_GW (West Bengal),Kolkata_Dankuni_GW (West Bengal),Dankuni,West Bengal,FALSE
1754,769043,Rourkela_Kalunga_I (Orissa),Rourkela_Kalunga_I (Orissa),Rourkela_Kalunga_I (Orissa),Rourkela,Orissa,FALSE
1755,244923,BilaspurUP_RamNagaria_D (Uttar Pradesh),BilaspurUP_RamNagaria_D (Uttar Pradesh),BilaspurUP_RamNagaria_D (Uttar Pradesh),Bilaspur-UP,Uttar Pradesh,FALSE
1756,635818,Gudiyattam_KTPRoad_D (Tamil Nadu),Gudiyattam_KTPRoad_D (Tamil Nadu),Gudiyattam_KTPRoad_D (Tamil Nadu),Gudiyattam,Tamil Nadu,FALSE
1757,481116,Malanjkhand_PouniSuji1_D (Madhya Pradesh),Malanjkhand_PouniSuji1_D (Madhya Pradesh),Malanjkhand_PouniSuji1_D (Madhya Pradesh),Malanjkhand,Madhya Pradesh,FALSE
1758,628703,Thisynvilai_Kerikrnthtu_D (Tamil Nadu),Thisynvilai_Kerikrnthtu_D (Tamil Nadu),Thisynvilai_Kerikrnthtu_D (Tamil Nadu),Thisayanvilai,Tamil Nadu,TRUE
1759,363320,Dhrangadhra_Mayurnagar_DPP (Gujarat),Dhrangadhra_Mayurnagar_DPP (Gujarat),Dhrangadhra_Mayurnagar_DPP (Gujarat),Dhrangadhra,Gujarat,TRUE
1760,841411,Marhowarah_StatinRD_D (Bihar),Marhowarah_StatinRD_D (Bihar),Marhowarah_StatinRD_D (Bihar),Marhowarah,Bihar,TRUE
1761,627954,Sankaran_Kovil_D (Tamil Nadu),Sankaran_Kovil_D (Tamil Nadu),Sankaran_Kovil_D (Tamil Nadu),Sankarankovil,Tamil Nadu,TRUE
1762,627859,Tenkasi_Ilanji_D (Tamil Nadu),Tenkasi_Ilanji_D (Tamil Nadu),Tenkasi_Ilanji_D (Tamil Nadu),Tenkasi,Tamil Nadu,TRUE
1763,731242,Morgram_Kantagoriya_D (West Bengal),Morgram_Kantagoriya_D (West Bengal),Morgram_Kantagoriya_D (West Bengal),Morgram,West Bengal,TRUE
1764,210010,Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad,Uttar Pradesh,FALSE
1765,814116,Deoghar_Bmpstwn_D (Jharkhand),Deoghar_Bmpstwn_D (Jharkhand),Deoghar_Bmpstwn_D (Jharkhand),Deoghar,Jharkhand,FALSE
1766,389380,Limkheda_Vateda_D (Gujarat),Limkheda_Vateda_D (Gujarat),Limkheda_Vateda_D (Gujarat),Limkheda,Gujarat,TRUE
1767,412108,Pirangut_GhotawadePhata_D (Maharashtra),Pirangut_GhotawadePhata_D (Maharashtra),Pirangut_GhotawadePhata_D (Maharashtra),Pirangut,Maharashtra,FALSE
1768,768225,Brajrajnagar_Jagannath_DPP (Orissa),Brajrajnagar_Jagannath_DPP (Orissa),Brajrajnagar_Jagannath_DPP (Orissa),Brajrajnagar,Orissa,TRUE
1769,712426,Ilipur_Dhanyahana_D (West Bengal),Ilipur_Dhanyahana_D (West Bengal),Ilipur_Dhanyahana_D (West Bengal),Ilipur,West Bengal,TRUE
1770,641304,Coimbatore_Pudhupalayam_GW (Tamil Nadu),Coimbatore_Pudhupalayam_GW (Tamil Nadu),Coimbatore_Pudhupalayam_GW (Tamil Nadu),Coimbatore,Tamil Nadu,TRUE
1771,627355,Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli_Krishnapuram_H (Tamil Nadu),Tirunelveli,Tamil Nadu,TRUE
1772,532168,Srikakulam_Etcherla_I (Andhra Pradesh),Srikakulam_Etcherla_I (Andhra Pradesh),Srikakulam_Etcherla_I (Andhra Pradesh),Srikakulam,Andhra Pradesh,TRUE
1773,723143,Balarampur_Baghadih_D (West Bengal),Balarampur_Baghadih_D (West Bengal),Balarampur_Baghadih_D (West Bengal),Balarampur-WB,West Bengal,TRUE
1774,173030,Nahan_Salani_D (Himachal Pradesh),Nahan_Salani_D (Himachal Pradesh),Nahan_Salani_D (Himachal Pradesh),Nahan,Himachal Pradesh,FALSE
1775,182141,Chenani_Ward3_D (Jammu & Kashmir),Chenani_Ward3_D (Jammu & Kashmir),Chenani_Ward3_D (Jammu & Kashmir),Chenani,Jammu & Kashmir,TRUE
1776,721253,Midnapore_Sarbera_DPP (West Bengal),Midnapore_Sarbera_DPP (West Bengal),Midnapore_Sarbera_DPP (West Bengal),Midnapore,West Bengal,TRUE
1777,700024,Kolkata_Paharpur_L (West Bengal),Kolkata_Paharpur_L (West Bengal),Kolkata_Paharpur_L (West Bengal),Kolkata,West Bengal,FALSE
1778,522315,Guntur_Gajulapalem_D (Andhra Pradesh),Guntur_Gajulapalem_D (Andhra Pradesh),Guntur_Gajulapalem_D (Andhra Pradesh),Guntur,Andhra Pradesh,TRUE
1779,631606,Chengalpattu_AnnaNagar_D (Tamil Nadu),Chengalpattu_AnnaNagar_D (Tamil Nadu),Chengalpattu_AnnaNagar_D (Tamil Nadu),Chengalpattu,Tamil Nadu,TRUE
1780,805125,Sirdala_ChandrikaNagar_D (Bihar),Sirdala_ChandrikaNagar_D (Bihar),Sirdala_ChandrikaNagar_D (Bihar),Sirdala,Bihar,TRUE
1781,673532,Perambra_KayipramRd_D (Kerala),Perambra_KayipramRd_D (Kerala),Perambra_KayipramRd_D (Kerala),Perambra,Kerala,FALSE
1782,206002,Etawah_Harsauli_D (Uttar Pradesh),Etawah_Harsauli_D (Uttar Pradesh),Etawah_Harsauli_D (Uttar Pradesh),Etawah,Uttar Pradesh,TRUE
1783,248001,Dehradun_Badowala_H (Uttarakhand),Dehradun_Badowala_H (Uttarakhand),Dehradun_Badowala_H (Uttarakhand),Dehradun,Uttarakhand,FALSE
1784,670507,Kannur_Payyanur_D (Kerala),Kannur_Payyanur_D (Kerala),Kannur_Payyanur_D (Kerala),Kannur,Kerala,TRUE
1785,586220,Sindagi_Bijapurrd_D (Karnataka),Sindagi_Bijapurrd_D (Karnataka),Sindagi_Bijapurrd_D (Karnataka),Sindagi,Karnataka,TRUE
1786,605013,Viluppuram_Pallithennal_P (Tamil Nadu),Viluppuram_Pallithennal_P (Tamil Nadu),Viluppuram_Pallithennal_P (Tamil Nadu),Viluppuram,Tamil Nadu,FALSE
1787,394210,Surat_GIDC1_P (Gujarat),Surat_Kacholi_GW (Gujarat),Surat_GIDC1_P (Gujarat),Surat,Gujarat,FALSE
1788,515814,Anantapur_AyyavaripalliRD_H (Andhra Pradesh),Anantapur_AyyavaripalliRD_H (Andhra Pradesh),Anantapur_AyyavaripalliRD_H (Andhra Pradesh),Anantapur,Andhra Pradesh,TRUE
1789,571211,Virajpet_TeluguSt_D (Karnataka),Virajpet_TeluguSt_D (Karnataka),Virajpet_TeluguSt_D (Karnataka),Virajpet,Karnataka,TRUE
1790,141007,Ludhiana_Barmalipur_H (Punjab),Ludhiana_Barmalipur_H (Punjab),Ludhiana_Barmalipur_H (Punjab),Ludhiana,Punjab,FALSE
1791,803119,BiharSharif_Ward20_D (Bihar),BiharSharif_Ward20_D (Bihar),BiharSharif_Ward20_D (Bihar),Bihar Sharif,Bihar,TRUE
1792,781132,Guwahati_Kaikchi1_L (Assam),Guwahati_KaliPahar_GW (Assam),Guwahati_Kaikchi1_L (Assam),Guwahati,Assam,TRUE
1793,783333,Tamarhat_Natabari_DPP (Assam),Tamarhat_Natabari_DPP (Assam),Tamarhat_Natabari_DPP (Assam),Tamarhat,Assam,FALSE
1794,211020,Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad,Uttar Pradesh,TRUE
1795,413249,Pathardi_ShirurKasar_D (Maharashtra),Pathardi_ShirurKasar_D (Maharashtra),Pathardi_ShirurKasar_D (Maharashtra),Pathardi,Maharashtra,TRUE
1796,742135,Murshidabad_Jiaganj_D (West Bengal),Murshidabad_Jiaganj_D (West Bengal),Murshidabad_Jiaganj_D (West Bengal),Murshidabad,West Bengal,TRUE
1797,695025,Trivandrum_Chelamangalm_L (Kerala),Trivandrum_Chelamangalm_L (Kerala),Trivandrum_Chelamangalm_L (Kerala),Thiruvananthapuram,Kerala,FALSE
1798,497224,Kusmi_Kanjiya_D (Chhattisgarh),Kusmi_Kanjiya_D (Chhattisgarh),Kusmi_Kanjiya_D (Chhattisgarh),Kusmi,Chhattisgarh,TRUE
1799,224184,Shahganj_Kaudiya_D (Uttar Pradesh),Shahganj_Kaudiya_D (Uttar Pradesh),Shahganj_Kaudiya_D (Uttar Pradesh),Shahganj,Uttar Pradesh,TRUE
1800,522509,Guntur_Kornepadu_I (Andhra Pradesh),Guntur_Kornepadu_I (Andhra Pradesh),Guntur_Kornepadu_I (Andhra Pradesh),Guntur,Andhra Pradesh,FALSE
1801,484002,Shahdol_Jamui_I (Madhya Pradesh),Shahdol_Jamui_I (Madhya Pradesh),Shahdol_Jamui_I (Madhya Pradesh),Shahdol,Madhya Pradesh,TRUE
1802,382620,Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad_Chandkheda_L (Gujarat),Ahmedabad,Gujarat,FALSE
1803,691326,Ayoor_Alayamon_D (Kerala),Ayoor_Alayamon_D (Kerala),Ayoor_Alayamon_D (Kerala),Ayoor,Kerala,TRUE
1804,305205,Nasirabad_RamlilaChowk_DPP (Rajasthan),Nasirabad_RamlilaChowk_DPP (Rajasthan),Nasirabad_RamlilaChowk_DPP (Rajasthan),Nasirabad,Rajasthan,TRUE
1805,825321,Tandwa_Garilong_D (Jharkhand),Tandwa_Garilong_D (Jharkhand),Tandwa_Garilong_D (Jharkhand),Tandwa,Jharkhand,TRUE
1806,581206,Kittur_BidiRoad_D (Karnataka),Kittur_BidiRoad_D (Karnataka),Kittur_BidiRoad_D (Karnataka),Kittur,Karnataka,TRUE
1807,686578,Kottayam_Ettumanoor_H (Kerala),Kottayam_Ettumanoor_H (Kerala),Kottayam_Ettumanoor_H (Kerala),Kottayam,Kerala,TRUE
1808,712407,Kolkata_Dankuni_GW (West Bengal),Kolkata_Dankuni_GW (West Bengal),Kolkata_Dankuni_GW (West Bengal),Dankuni,West Bengal,TRUE
1809,248198,Herbertpur_Babugarh_D (Uttarakhand),Herbertpur_Babugarh_D (Uttarakhand),Herbertpur_Babugarh_D (Uttarakhand),Herbertpur,Uttarakhand,TRUE
1810,639206,Karur_AmaravathyNagar_D (Tamil Nadu),Karur_AmaravathyNagar_D (Tamil Nadu),Karur_AmaravathyNagar_D (Tamil Nadu),Karur,Tamil Nadu,TRUE
1811,400705,Mumbai_Nerul_L (Maharashtra),Mumbai_Nerul_L (Maharashtra),Mumbai_Nerul_L (Maharashtra),Navi mumbai,Maharashtra,FALSE
1812,144042,Nakodar_Ward9_D (Punjab),Nakodar_Ward9_D (Punjab),Nakodar_Ward9_D (Punjab),Nakodar,Punjab,FALSE
1813,246488,Chamoli_Karnaprayag_D (Uttarakhand),Chamoli_Karnaprayag_D (Uttarakhand),Chamoli_Karnaprayag_D (Uttarakhand),Chamoli,Uttarakhand,TRUE
1814,695028,Trivandrum_Chelamangalm_L (Kerala),Trivandrum_Chelamangalm_L (Kerala),Trivandrum_Chelamangalm_L (Kerala),Thiruvananthapuram,Kerala,FALSE
1815,632052,Vellore_Avrmpalyam_I (Tamil Nadu),Vellore_Avrmpalyam_I (Tamil Nadu),Vellore_Avrmpalyam_I (Tamil Nadu),Vellore,Tamil Nadu,FALSE
1816,843124,Muzaffarpur_Motipur_D (Bihar),Muzaffarpur_Motipur_D (Bihar),Muzaffarpur_Motipur_D (Bihar),Muzaffarpur,Bihar,FALSE
1817,176030,Khundian_Koka_DPP (Himachal Pradesh),Khundian_Koka_DPP (Himachal Pradesh),Khundian_Koka_DPP (Himachal Pradesh),Khundian,Himachal Pradesh,FALSE
1818,508213,Suryapet_Krishnanagar_D (Telangana),Suryapet_Krishnanagar_D (Telangana),Suryapet_Krishnanagar_D (Telangana),Suryapet,Telangana,FALSE
1819,321614,Kherli_Doroli_D (Rajasthan),Kherli_Doroli_D (Rajasthan),Kherli_Doroli_D (Rajasthan),Kherli,Rajasthan,TRUE
1820,626005,Sivakasi_KamarjapurmCly_D (Tamil Nadu),Sivakasi_KamarjapurmCly_D (Tamil Nadu),Sivakasi_KamarjapurmCly_D (Tamil Nadu),Sivakasi,Tamil Nadu,FALSE
1821,535573,Bobbili_Aguruvidi_D (Andhra Pradesh),Bobbili_Aguruvidi_D (Andhra Pradesh),Bobbili_Aguruvidi_D (Andhra Pradesh),Bobbili,Andhra Pradesh,TRUE
1822,843117,Aurai_College_D (Bihar),Aurai_College_D (Bihar),Aurai_College_D (Bihar),Aurai,Bihar,FALSE
1823,573201,Hassan_Nagathavalli_I (Karnataka),Hassan_Nagathavalli_I (Karnataka),Hassan_Nagathavalli_I (Karnataka),Hassan,Karnataka,TRUE
1824,751010,Bhubaneswar_Bampakhuda_GW (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),Bhubaneshwar,Orissa,FALSE
1825,508116,Bhuvanagiri_Bhongir_D (Telangana),Bhuvanagiri_Bhongir_D (Telangana),Bhuvanagiri_Bhongir_D (Telangana),Bhuvanagiri,Telangana,TRUE
1826,490003,Durg_SmritiNagar_D (Chhattisgarh),Durg_SmritiNagar_D (Chhattisgarh),Durg_SmritiNagar_D (Chhattisgarh),Durg,Chhattisgarh,TRUE
1827,453115,Depalpur_Takipura2_D (Madhya Pradesh),Depalpur_Takipura2_D (Madhya Pradesh),Depalpur_Takipura2_D (Madhya Pradesh),Depalpur,Madhya Pradesh,TRUE
1828,700163,Kolkata_Kadapara_L (West Bengal),Kolkata_Kadapara_L (West Bengal),Kolkata_Kadapara_L (West Bengal),Kolkata,West Bengal,FALSE
1829,211001,Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad_Rasulabad_H (Uttar Pradesh),Allahabad,Uttar Pradesh,FALSE
1830,642113,Udumalaipettai_Gangthrn_D (Tamil Nadu),Udumalaipettai_Gangthrn_D (Tamil Nadu),Udumalaipettai_Gangthrn_D (Tamil Nadu),Udumalaipettai,Tamil Nadu,TRUE
1831,815305,Giridih_Mahthadih_D (Jharkhand),Giridih_Mahthadih_D (Jharkhand),Giridih_Mahthadih_D (Jharkhand),Giridih,Jharkhand,TRUE
1832,679105,Pazhayannur_Thiruvlwml1_D (Kerala),Pazhayannur_Thiruvlwml1_D (Kerala),Pazhayannur_Thiruvlwml1_D (Kerala),Pazhayannur,Kerala,TRUE
1833,400082,Mumbai_WagleMIDC_L (Maharashtra),Mumbai_WagleMIDC_L (Maharashtra),Mumbai_WagleMIDC_L (Maharashtra),Thane,Maharashtra,FALSE
1834,583130,Molakalmuru_KnsgraRD_D (Karnataka),Molakalmuru_KnsgraRD_D (Karnataka),Molakalmuru_KnsgraRD_D (Karnataka),Molakalmuru,Karnataka,TRUE
1835,742156,Nowda_Amtala_DPP (West Bengal),Nowda_Amtala_DPP (West Bengal),Nowda_Amtala_DPP (West Bengal),Nowda,West Bengal,TRUE
1836,492005,Raipur_Devpuri_L (Chhattisgarh),Raipur_Guma_H (Chhattisgarh),Raipur_Devpuri_L (Chhattisgarh),Raipur,Chhattisgarh,FALSE
1837,380023,Ahmedabad_Odhavestate_L (Gujarat),Ahmedabad_Kanera_GW (Gujarat),Ahmedabad_Odhavestate_L (Gujarat),Ahmedabad,Gujarat,FALSE
1838,110078,Delhi_BamnoliVillage_L (Delhi),Delhi_BamnoliVillage_L (Delhi),Delhi_BamnoliVillage_L (Delhi),Delhi,Delhi,FALSE
1839,676318,Malappuram_Kolappuram_D (Kerala),Malappuram_Kolappuram_D (Kerala),Malappuram_Kolappuram_D (Kerala),Malappuram,Kerala,FALSE
1840,623603,Perunali_Sayalkudi_D (Tamil Nadu),Perunali_Sayalkudi_D (Tamil Nadu),Perunali_Sayalkudi_D (Tamil Nadu),Perunali,Tamil Nadu,TRUE
1841,176213,Dharamshala_Panjlehr_D (Himachal Pradesh),Dharamshala_Panjlehr_D (Himachal Pradesh),Dharamshala_Panjlehr_D (Himachal Pradesh),Dharamshala,Himachal Pradesh,FALSE
1842,271207,Balrampur_SahabNager_D (Uttar Pradesh),Balrampur_SahabNager_D (Uttar Pradesh),Balrampur_SahabNager_D (Uttar Pradesh),Balrampur,Uttar Pradesh,TRUE
1843,754131,Cuttack_Bilteruan1_L (Orissa),Bhubaneswar_Bampakhuda_GW (Orissa),Cuttack_Bilteruan1_L (Orissa),Cuttack,Orissa,TRUE
1844,400032,Mumbai_Kalachowki_L (Maharashtra),Mumbai_Kalachowki_L (Maharashtra),Mumbai_Kalachowki_L (Maharashtra),Mumbai,Maharashtra,FALSE
1845,638107,Erode_BharathiNagar_L (Tamil Nadu),Erode_BharathiNagar_L (Tamil Nadu),Erode_BharathiNagar_L (Tamil Nadu),Erode,Tamil Nadu,FALSE
1846,766105,Nuapada_Ratipali_D (Orissa),Nuapada_Ratipali_D (Orissa),Nuapada_Ratipali_D (Orissa),Nuapada,Orissa,TRUE
1847,507211,Yellandu_Sudimala1_D (Telangana),Yellandu_Sudimala1_D (Telangana),Yellandu_Sudimala1_D (Telangana),Yellandu,Telangana,TRUE
1848,403723,Goa_Cortalim_H (Goa),Goa_Cortalim_H (Goa),Goa_Cortalim_H (Goa),Goa,Goa,TRUE
1849,301427,Neemrana_RIICOIndArea_L (Rajasthan),Neemrana_RIICOIndArea_L (Rajasthan),Neemrana_RIICOIndArea_L (Rajasthan),Neemrana,Rajasthan,TRUE
1850,755031,Chandikhol_Gandhichhak_D (Orissa),Chandikhol_Gandhichhak_D (Orissa),Chandikhol_Gandhichhak_D (Orissa),Chandikhol,Orissa,FALSE
1851,688582,Alappuzha_Bernard_D (Kerala),Alappuzha_Bernard_D (Kerala),Alappuzha_Bernard_D (Kerala),Alappuzha,Kerala,FALSE
1852,243639,Budaun_KrishnaPuriRd_D (Uttar Pradesh),Budaun_KrishnaPuriRd_D (Uttar Pradesh),Budaun_KrishnaPuriRd_D (Uttar Pradesh),Budaun,Uttar Pradesh,TRUE
1853,305005,Ajmer_Ratanzila_I (Rajasthan),Ajmer_Ratanzila_I (Rajasthan),Ajmer_Ratanzila_I (Rajasthan),Ajmer,Rajasthan,FALSE
1854,341011,Nagaur_ShastriNgr_D (Rajasthan),Nagaur_ShastriNgr_D (Rajasthan),Nagaur_ShastriNgr_D (Rajasthan),Nagaur,Rajasthan,TRUE
1855,834008,Ranchi_Sarwal_L (Jharkhand),Ranchi_Sidroll_H (Jharkhand),Ranchi_Sarwal_L (Jharkhand),Ranchi,Jharkhand,FALSE
1856,713169,Durgapur_Bamunara1_I (West Bengal),Durgapur_Bamunara1_I (West Bengal),Durgapur_Bamunara1_I (West Bengal),Durgapur,West Bengal,TRUE
1857,802166,Brahmapur_Shahpur_D (Bihar),Brahmapur_Shahpur_D (Bihar),Brahmapur_Shahpur_D (Bihar),Brahmapur,Bihar,FALSE
1858,388345,Anand_VitthalUdyogNgr_D (Gujarat),Anand_VitthalUdyogNgr_D (Gujarat),Anand_VitthalUdyogNgr_D (Gujarat),Anand,Gujarat,FALSE
1859,638202,Tirupur_Palayam_P (Tamil Nadu),Tirupur_Palayam_P (Tamil Nadu),Tirupur_Palayam_P (Tamil Nadu),Tirupur,Tamil Nadu,TRUE
1860,392210,Ankleshwar_Motali1_L (Gujarat),Ankleshwar_Motali1_L (Gujarat),Ankleshwar_Motali1_L (Gujarat),Ankleshwar,Gujarat,TRUE
1861,276142,Rajesultanpur_PadumprMkt_D (Uttar Pradesh),Rajesultanpur_PadumprMkt_D (Uttar Pradesh),Rajesultanpur_PadumprMkt_D (Uttar Pradesh),Rajesultanpur,Uttar Pradesh,TRUE
1862,416130,Ichalkaranji_TmbeMala_D (Maharashtra),Ichalkaranji_TmbeMala_D (Maharashtra),Ichalkaranji_TmbeMala_D (Maharashtra),Ichalkaranji,Maharashtra,TRUE
1863,768030,Bargarh_Sukuda_D (Orissa),Bargarh_Sukuda_D (Orissa),Bargarh_Sukuda_D (Orissa),Bargarh,Orissa,FALSE
1864,203208,Noida_Sector67Bblock_L (Uttar Pradesh),Noida_Bairangpur_GW (Uttar Pradesh),Noida_Sector67Bblock_L (Uttar Pradesh),Noida,Uttar Pradesh,TRUE
1865,680028,Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur_Padavarad_I (Kerala),Thrissur,Kerala,FALSE
1866,457779,Jhabua_Mojipada_D (Madhya Pradesh),Jhabua_Mojipada_D (Madhya Pradesh),Jhabua_Mojipada_D (Madhya Pradesh),Jhabua,Madhya Pradesh,TRUE
1867,736176,Dinhata_WardNo6_D (West Bengal),Dinhata_WardNo6_D (West Bengal),Dinhata_WardNo6_D (West Bengal),Dinhata,West Bengal,TRUE
1868,605803,Thirukoilure_Manmpondi1_D (Tamil Nadu),Thirukoilure_Manmpondi1_D (Tamil Nadu),Thirukoilure_Manmpondi1_D (Tamil Nadu),Thirukoilure,Tamil Nadu,TRUE
1869,403507,Goa_Mapusa_L (Goa),Goa_Mapusa_L (Goa),Goa_Mapusa_L (Goa),Goa,Goa,FALSE
1870,201018,Ghaziabad_Indirapuram_L (Uttar Pradesh),Noida_Bairangpur_GW (Uttar Pradesh),Ghaziabad_Indirapuram_L (Uttar Pradesh),Ghaziabad,Uttar Pradesh,FALSE
1871,722202,Barjora_PoliceStn_DPP (West Bengal),Barjora_PoliceStn_DPP (West Bengal),Barjora_PoliceStn_DPP (West Bengal),Barjora,West Bengal,TRUE
1872,275102,Mau_Chriayakot_D (Uttar Pradesh),Mau_Chriayakot_C (Uttar Pradesh),Mau_Chriayakot_C (Uttar Pradesh),Mau,Uttar Pradesh,TRUE
1873,761003,Behrampur_Mandiapalli_I (Orissa),Behrampur_Mandiapalli_I (Orissa),Behrampur_Mandiapalli_I (Orissa),Behrampur,Orissa,TRUE
1874,415806,Ratnagiri_Mervi_DPP (Maharashtra),Ratnagiri_Mervi_DPP (Maharashtra),Ratnagiri_Mervi_DPP (Maharashtra),Ratnagiri,Maharashtra,TRUE
1875,759125,Puranakatak_Athmallik1_D (Orissa),Puranakatak_Athmallik1_D (Orissa),Puranakatak_Athmallik1_D (Orissa),Puranakatak,Orissa,TRUE
1876,626501,Theni_Kottaikalam_D (Tamil Nadu),Theni_Kottaikalam_D (Tamil Nadu),Theni_Kottaikalam_D (Tamil Nadu),Theni,Tamil Nadu,TRUE
1877,627851,Ambasamudram_DRSColony_D (Tamil Nadu),Ambasamudram_DRSColony_D (Tamil Nadu),Ambasamudram_DRSColony_D (Tamil Nadu),Ambasamudram,Tamil Nadu,FALSE
1878,441502,Nagpur_Khapari_GW (Maharashtra),Nagpur_Khapari_GW (Maharashtra),Nagpur_Khapari_GW (Maharashtra),Nagpur,Maharashtra,TRUE
1879,274201,Deoria_Ramnathnagar_D (Uttar Pradesh),Deoria_Ramnathnagar_D (Uttar Pradesh),Deoria_Ramnathnagar_D (Uttar Pradesh),Deoria,Uttar Pradesh,TRUE
